sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,reconstruction_residual_rms
3122,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain,10.0,48,7.614160671488386,-24.236236994900306,-39.13199787881458,0.23800803086453493
3276,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,10,months,original,numeric,10,10,months,plain,10.0,48,23.22864373141276,-43.689185875659874,-15.511822015230486,0.21452584050884566
3584,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain,10.0,48,32.48390843068602,-45.32586058477979,-19.15934307879539,0.24011594194099642
3672,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain,10.0,48,19.451354559958624,-31.073172443629936,-11.156648827853386,0.22458630561603682
42,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,24.670880581638663,-22.917043523765955,0.7369189204856315,0.16819587747352396
284,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,26.756797319891447,-16.671043983547246,1.4763365198472869,0.14527774536268967
482,-1,direct_help,N/A,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,28.894410477947144,-23.119457457778694,7.110140422110283,0.17462949119191806
746,-1,direct_help,N/A,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,26.494985815829473,-30.24380119834507,3.5389249738551802,0.15631153430655073
1010,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,27.08441014780939,-6.785843432271644,3.3313332039758827,0.1753662105610992
1450,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,25.333099706299386,-14.614064138493687,-2.4648706379955954,0.15774697047887293
1582,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,29.089875645107437,-11.563620455372433,-3.324950418366956,0.1499099500234517
1802,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,22.328438361120092,-23.74229939301434,2.423276250240593,0.15932149092592857
2066,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,21.678234992610278,-24.287811451931898,4.934814891836679,0.15263567102664335
2242,-1,direct_help,N/A,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,24.787134589751737,-26.868273319286363,5.254565393316605,0.15466436207153747
2462,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,22.36527949448195,-27.854420008713078,1.3116354300765212,0.16079040706479247
2814,-1,direct_help,N/A,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,22.65885990863386,-26.80305577844269,2.874630379626386,0.15394875790920726
2990,-1,direct_help,N/A,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,21.30282625625666,-22.40770538287598,-3.110784918480065,0.14486957763663577
3122,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,11.64974673664607,-18.98538181963279,-9.323415586458959,0.16260351983589424
3276,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,22.447592034802188,-28.850124419081595,1.7284452173646678,0.15618529439527293
3584,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,28.47286117328646,-25.87970115292247,-1.2624761336397312,0.17188773828075146
3672,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,10,months,original,numeric,10,10,months,plain_long,10.0,48,20.745323066824522,-21.17520797808512,2.8874414636530754,0.18227326113187853
46,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,22.927642598500295,-29.184283758166444,-4.405687699995216,0.2802492279831317
288,-1,task_available_time,<averaged>,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,22.082902098621478,-3.5175493924339696,6.593024644346622,0.3234100360805757
486,-1,task_available_time,<averaged>,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,36.09686594751374,-19.82060184160564,10.493199187595202,0.30665771123083996
750,-1,task_available_time,<averaged>,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,29.242196041438014,-26.72798879595082,-1.9718364449807302,0.29004170288508757
1014,-1,task_available_time,<averaged>,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,24.221212693191283,11.309540196139132,16.148096988815794,0.32866159871898004
1454,-1,task_available_time,<averaged>,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,39.47302246168774,-6.90635528984634,-0.4147082035136251,0.2996403873976559
1586,-1,task_available_time,<averaged>,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,42.31398656466201,-1.7445834040536412,9.826139463793503,0.3869553640826585
1806,-1,task_available_time,<averaged>,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,25.31375242725328,-15.239720755769238,4.109663974916274,0.33417755081158307
2070,-1,task_available_time,<averaged>,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,21.078034131530288,-25.54761240284506,19.25693559995983,0.32689414079597195
2246,-1,task_available_time,<averaged>,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,25.84377207508466,-25.71693992482508,8.59654668640725,0.316504755279981
2466,-1,task_available_time,<averaged>,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,19.426009445742537,-20.891422397883527,-1.803249441400088,0.2624426105203696
2818,-1,task_available_time,<averaged>,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,18.754040579783346,-28.792885089237583,10.5883311804357,0.2910355691441517
2994,-1,task_available_time,<averaged>,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,18.980585514567913,-9.297508798720523,-19.43806903473796,0.2801956085524706
3126,-1,task_available_time,<averaged>,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,4.229957768901939,-10.561201922547296,-14.885605871257805,0.2899198667508419
3280,-1,task_available_time,<averaged>,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,16.81765915967994,-25.10043175828236,2.98259098051,0.28634358134472343
3588,-1,task_available_time,<averaged>,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,32.395974836668685,-32.68165490618534,-7.637799515205869,0.284985320129687
3676,-1,task_available_time,<averaged>,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,nof_conv,20.0,36,12.339466064737802,-14.734441664765226,-2.2103641974625186,0.3047422339440398
46,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,29.31268038747216,-33.30046414303217,-20.204909681525532,0.20164297049538435
288,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,32.091258844679686,-17.033793181526033,-20.547630835879,0.19911569292820053
486,-1,direct_help,N/A,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,37.52759219209395,-28.047998540136902,-7.995109296268418,0.17198877221992007
750,-1,direct_help,N/A,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,31.651134361994426,-39.116366715132735,-16.912196268151465,0.1718804031709977
1014,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,34.581785770392514,-1.0606470351985997,-12.507671743484915,0.18281499305078833
1454,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,32.298624294032855,-17.876695425546373,-23.77533331310856,0.1680901356196984
1586,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,38.20965328096,-9.965163017537712,-23.409022408810433,0.1801992238215368
1806,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,30.01273117367279,-27.025041859297673,-18.774160560020274,0.17423686006341457
2070,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,25.944849999753494,-32.8169869920985,-14.264742004466584,0.18557493593724847
2246,-1,direct_help,N/A,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,32.45194672184908,-33.714322658985274,-12.771932552255773,0.16269106409325218
2466,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,23.509474173883877,-26.88738994375606,-25.66998446062691,0.21754974389750398
2818,-1,direct_help,N/A,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,26.081611642866285,-32.14249836498973,-20.6466562215008,0.19968938322287494
2994,-1,direct_help,N/A,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,24.866208849853617,-22.680662541051035,-31.14554614413071,0.20124675578765908
3126,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,11.495857951549633,-17.817067470280687,-44.40413475493728,0.2298257466340624
3280,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,25.565386070904225,-37.52636387594034,-21.909645776084588,0.20737499700044512
3588,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,35.40037508180843,-38.0076046015593,-25.004248249975003,0.2318969099086892
3676,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain,20.0,48,23.751949844119974,-26.697543457716392,-17.764190084797164,0.22186633006861606
46,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,28.648606047726243,-20.235010863395907,-3.406782832636865,0.16741896896860817
288,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,29.413536211174517,-12.700954897895262,-2.3225191355002126,0.14181693826403668
486,-1,direct_help,N/A,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,32.55272997009406,-20.1203862419358,4.062101304920594,0.17299987623902613
750,-1,direct_help,N/A,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,29.86414085603669,-26.733376217605336,-0.06658035563223419,0.1534205902287735
1014,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,30.29017555611543,-4.663602537857937,1.4898099828747031,0.17617804582152682
1454,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,29.295356679007064,-13.274344789915395,-5.551534703537325,0.15911748442086043
1586,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,32.43396631645262,-8.536591680622147,-5.657498433043266,0.14988243067118742
1806,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,25.588198219051744,-20.68644860571636,-0.8598598515922401,0.15829616056993728
2070,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,25.178533902367633,-22.242593330167526,1.650780259934074,0.15189449951885028
2246,-1,direct_help,N/A,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,27.979109387304852,-23.476367157998034,1.7827321528291127,0.15319896103088887
2466,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,24.839938030126497,-21.72758324542652,-4.200408347236522,0.1579779906023012
2818,-1,direct_help,N/A,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,25.53131861319909,-22.548717106127178,-1.7172906353565898,0.15156703703274865
2994,-1,direct_help,N/A,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,24.731521104822402,-17.32672708754308,-7.364426632619696,0.14106266899487002
3126,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,14.979168931995837,-15.198436546822201,-13.018491825563787,0.15976053552139804
3280,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,24.95647835109242,-25.588485400983984,-2.1134279912871303,0.15368363665406265
3588,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,31.55764607509251,-21.902058751281963,-4.959844830558924,0.16902161429839613
3676,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,20,months,original,numeric,20,20,months,plain_long,20.0,48,24.53900089896854,-18.65821050731098,-1.553901347341256,0.1806362847465734
50,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,24.52884784726447,-24.25335097397792,-8.165041917606022,0.2823154224892453
292,-1,task_available_time,<averaged>,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,23.1925541588791,5.042245487571179,1.4017178154751488,0.31986021668608877
490,-1,task_available_time,<averaged>,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,38.15201955895981,-13.687625691138058,7.207772283100065,0.30914601890688886
754,-1,task_available_time,<averaged>,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,30.097987397469257,-17.594291530795903,-6.975512495154772,0.2923613263582296
1018,-1,task_available_time,<averaged>,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,27.966602394880383,14.886132225496915,12.458816217037022,0.32845752474576645
1458,-1,task_available_time,<averaged>,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,42.77150595217193,-5.1788286145713744,-2.7669257627391097,0.30126532455692445
1590,-1,task_available_time,<averaged>,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,44.078498525589325,2.4945363673258165,7.959237384072786,0.3869011675860547
1810,-1,task_available_time,<averaged>,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,26.92031739955754,-8.010779441314625,0.16531945963537742,0.3329687696484878
2074,-1,task_available_time,<averaged>,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,22.673808452027316,-21.059344498333843,15.644739445793165,0.32849545132014996
2250,-1,task_available_time,<averaged>,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,27.02827450058198,-18.251652355663836,4.075613536192801,0.31729399429639665
2470,-1,task_available_time,<averaged>,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,19.366549126856864,-5.052048046470206,-10.611091518298316,0.2626785510008201
2822,-1,task_available_time,<averaged>,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,19.152662373573136,-20.425638122473863,4.548827504609154,0.28964162338853183
2998,-1,task_available_time,<averaged>,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,19.019666022269266,3.586879788627173,-26.41393787650189,0.27655803117240446
3130,-1,task_available_time,<averaged>,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,6.40328922713649,-2.027443385212397,-21.240668952350067,0.2901958044892018
3284,-1,task_available_time,<averaged>,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,17.576592040246286,-18.750710741174363,-2.3434637420978186,0.28665920091557523
3592,-1,task_available_time,<averaged>,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,33.54373638123345,-24.681144553479623,-12.702091048564338,0.2806316845649344
3680,-1,task_available_time,<averaged>,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,nof_conv,30.0,36,14.513293371654553,-8.067482007571389,-6.825529692580087,0.30677110060240725
50,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,30.742410931417407,-29.816026671734534,-23.716371500174144,0.1958853258164088
292,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,32.47523335414049,-12.165629742520942,-24.065082459030588,0.19432857098791292
490,-1,direct_help,N/A,N/A,create a scalable marketplace platform,software_project,high,software,high,project,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,38.87747607369388,-25.402261961189158,-10.366718622275041,0.16514989708817962
754,-1,direct_help,N/A,N/A,create an e-commerce website,software_project,medium,software,medium,project,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,32.446320976274855,-34.43103785332836,-20.318428544531105,0.16486760148068427
1018,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,36.071214746562504,0.5051470575177601,-14.80868940036748,0.17574669763167725
1458,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,34.3348569585353,-18.142498632509014,-25.169820847805944,0.1666702957852245
1590,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,39.264481280502075,-7.616610248281453,-25.33678797350528,0.17550926722350604
1810,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,30.90109752469705,-22.85815827533762,-22.155793504713188,0.17117494279105624
2074,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,27.23277016399415,-29.730699209599173,-17.25444848699707,0.18045851634166016
2250,-1,direct_help,N/A,N/A,organize a company-wide knowledge management system,organization_project,high,knowledge_preservation,high,systems,high,organization,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,33.410986760515115,-29.313959953304856,-16.185740530294353,0.1576112871710286
2470,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,23.866433522878854,-20.092599762727648,-30.265138845888742,0.21053091836581303
2822,-1,direct_help,N/A,N/A,plan a move to a new city,relocation,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,26.33381150094019,-26.799407292134187,-24.39681566764409,0.19273359252504937
2998,-1,direct_help,N/A,N/A,plan an international trip,travel_planning,medium,personal_lifestyle,medium,logistical,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,25.25685252395953,-15.071249814465551,-34.86236082847616,0.19461911020358796
3130,-1,direct_help,N/A,N/A,preserve a small folder of important documents,knowledge_archive,low,knowledge_preservation,low,procedural,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,12.854933948136598,-13.602804199945822,-47.54299158526202,0.22294649038843334
3284,-1,direct_help,N/A,N/A,renovate an apartment,home_renovation,medium,personal_lifestyle,medium,logistical,medium,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,25.60823460954478,-33.269866082007375,-25.563240641209294,0.20167306069012667
3592,-1,direct_help,N/A,N/A,train for a marathon,physical_training,medium,personal_lifestyle,medium,training,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,36.03492641248472,-31.0046721808837,-28.837213561457816,0.22390655857010433
3680,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain,30.0,48,25.210136991854057,-22.989284522874545,-21.68777322469192,0.21291097109206022
50,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,30,months,original,numeric,30,30,months,plain_long,30.0,48,30.197092340724364,-18.123050351539955,-5.705552039435872,0.1629188977166527
292,-1,direct_help,N/A,N/A,coordinate a disaster relief effort,emergency_response,high,safety,high,coordination,high,multi_agent,N/A,N/A,30,months,original,numeric,30,30,months,plain_long,30.0,48,30.323607206574664,-10.015349093775358,-4.325380071603871,0.1373426590440004
